id|title|releaseYear
VG01|PaRappa the Rapper 2|2001
VG02|Luigi's Mansion|2001
VG03|The Legend of Zelda: The Wind Waker|2003
VG04|The Legend of Zelda: Twilight Princess|2006
VG05|Viva Pinata|2006
VG06|God of War|2005
VG07|Halo: Combat Evolved|2001
VG08|Guitar Hero III: Legends of Rock|2007
VG09|Soulcalibur II|2002
VG10|Dead or Alive 3|2001
VG11|Assassin's Creed|2007
VG12|Super Mario Galaxy|2007
VG13|Super Smash Bros. Melee|2001
VG14|Kingdom Hearts|2002
VG15|Tony Hawk's Pro Skater 3|2001
